Pair ID,Class 1,Term 1,Similarity,Class 2,Term 2,Term 1 Expand,Term 2 Expand
0031761-0072421,29,"fish, not live",Dissimilar,30,spices,"Fish, not live, for human consumption",Aromatic plant-derived spices for food flavoring
0045403-0018870,18,whips,Dissimilar,18,horseshoes,"Flexible striking device, namely whips, for equestrian use",Horseshoes [equestrian equipment]
0048128-0000208,31,forestry products not included in other classes,Dissimilar,31,trees,"Raw and unprocessed forestry products, excluding those classified elsewhere","Live natural plants, namely, trees, for growing, reforestation, landscaping, or as a source of wood"
0031480-0004141,29,albumin milk,Dissimilar,29,frozen vegetables,Albumin milk for food consumption,Prepared and preserved frozen vegetables for food
GSCSup-0031306-GSCSup-0031316,6,drain valves of metal,Similar,6,discharge pipes,Metal valves for drainage purposes,Metal pipes for discharging fluids or waste
0021238-0047023,7,machine tools,Dissimilar,7,reels [parts of machines],"Industrial machinery, namely, machine tools",Reels as parts of machines
0013240-0059063,9,photographic apparatus and instruments,Dissimilar,9,magnets,Optical apparatus and instruments for photographic purposes,Physical objects capable of generating a magnetic field for scientific or industrial purposes
0072390-0012809,25,footwear,Identical,25,boxing shoes,Articles of footwear for covering and protecting the feet,Specialized athletic footwear for wearing during boxing and other combat sports
0072390-0034036,25,footwear,Identical,25,work boots,Articles of footwear for covering and protecting the feet,Durable boots for professional labor and protection
0057417-0059421,3,hair lotions,Dissimilar,5,food for babies,Non-medicated hair lotions for cosmetic purposes,Dietetic food preparations specifically formulated for babies
0047826-0005812,12,parts and fittings for vehicles,Identical,12,clutches for land vehicles,Manufactured parts and fittings specifically designed for vehicles of all types,Mechanical coupling devices for engaging and disengaging the engine from the transmission in land vehicles
0047262-0001041,29,jams,Dissimilar,30,royal jelly,"Preserved fruit spreads, namely, jams",Edible royal jelly [foodstuff]
0016334-0044151,30,sausage binding materials,Dissimilar,29,"vegetables, dried",Food-grade binding materials for use in sausages,Dried vegetables for human consumption
0047647-0014541,3,animal grooming preparations,Dissimilar,44,animal healthcare services,"Non-medicated chemical preparations for animal grooming, cleaning, and conditioning",Veterinary and hygienic care services for animals
0057904-0019042,22,ropes,Dissimilar,22,strips for tying-up vines,"Cordage, namely, ropes",Flexible strips for securing and supporting vines
0028450-0002359,41,translation and interpretation,Dissimilar,41,sporting activities,"Professional linguistic services, namely translation and interpretation services",Services for organizing and conducting sporting activities and events
0020959-0059263,13,explosives,Dissimilar,13,noise-suppressors for guns,Explosive chemical substances,"Accessories for firearms, namely, noise-suppressors"
0046364-0057172,25,clothing,Dissimilar,35,business management,Garments and articles of dress for covering the human body,Business management services
0012583-0013526,29,jellies for food,Dissimilar,30,sandwiches,Edible fruit jellies for food,Prepared sandwiches for consumption
0057172-0031129,35,business management,Identical,35,business assistance,Business management services,General business assistance and support services
0047262-0000462,29,jams,Dissimilar,30,artificial coffee,"Preserved fruit spreads, namely, jams",Artificial coffee [coffee substitute]
0025734-0059258,12,vehicles,Similar,12,gears for cycles,"Apparatus for locomotion by land, air, or water, for conveying people or goods",Mechanical gears forming part of the transmission systems for cycles (bicycles and motorcycles)
0008864-0031363,41,teaching,Similar,42,technological research,Educational services in the field of teaching,"Scientific and technological services, namely, technological research"
0044067-0058848,12,cigar lighters for automobiles,Dissimilar,9,computer software,Cigar lighters specifically adapted for use in automobiles,Recorded and downloadable computer software
0039539-0072798,31,aromatic sand [litter] for pets,Similar,31,animal foodstuffs,Aromatic granular material for use as pet litter,Edible foodstuffs for animal consumption
0058849-0075965,9,software,Identical,9,downloadable software applications,Downloadable and recorded computer software,Downloadable computer software applications
0047441-0057121,36,real estate affairs,Identical,36,real estate consultancy,"Services related to real property, namely, managing real estate affairs",Real estate consultancy services
0035881-0036262,12,apparatus for locomotion by water,Similar,12,steering gears for ships,Vehicles and apparatus for locomotion by water,Mechanical steering systems for controlling the direction of ships
0030502-0058864,3,cosmetics,Similar,3,eau de cologne,Non-medicated cosmetics for beauty and personal care,Light perfumery preparation [Eau de Cologne]
0023073-0070125,41,providing information in the field of entertainment by means of a global computer network,Dissimilar,28,toys,Online information service for disseminating data and facts related to entertainment,Playthings for amusement
0022154-0006149,16,tablecloths of paper,Dissimilar,16,"typewriters, electric or non-electric","Paper products, namely, tablecloths of paper","Typewriters, electric or non-electric, for office use"
0071841-GSCSup-0052571,5,pharmaceutical preparations,Identical,5,medical and veterinary preparations and articles,Medicinal pharmaceutical preparations for human or veterinary use,"Pharmaceutical, medical, and veterinary preparations and articles for human and animal healthcare"
0057908-0030926,3,perfumes,Dissimilar,10,condoms,"Fragrant liquid preparations, namely, perfumes",Articles for providing contraception and protection during sexual activity
0044168-0015589,22,"padding materials, not of rubber, plastics, paper or cardboard",Dissimilar,22,string,"Padding, cushioning and stuffing materials, not of rubber, plastics, paper or cardboard",Textile string
0036214-0035029,7,"filters for cleaning cooling air, for engines",Dissimilar,7,"machine couplings and transmissions, except for land vehicles",Mechanical filters for cleaning cooling air in engines,"Machine coupling and transmission components, excluding those for land vehicles"
0041981-0020078,29,preserved vegetables,Dissimilar,29,"anchovy, not live","Vegetables preserved by canning, freezing, drying or other methods for consumption","Prepared anchovy, not live, for food"
0058166-0031949,25,soles for footwear,Identical,25,soles for japanese style sandals,"Components of footwear, namely, soles",Soles as components for Japanese style sandals
0020307-0022248,29,whey,Dissimilar,30,rice,Whey being a dairy product derived from milk,"Cereal grain, namely, rice"
0025750-0035029,7,bobbins for weaving looms,Dissimilar,7,"machine couplings and transmissions, except for land vehicles",Component bobbins designed to hold and dispense thread for use in weaving looms,"Machine coupling and transmission components, excluding those for land vehicles"
0038281-0023365,7,"door closers, electric",Dissimilar,9,cash registers,Electrically-operated mechanical devices for automatically closing doors,Electronic accounting apparatus for recording and calculating sales transactions and handling cash
0047850-0028450,16,stationery and educational supplies,Dissimilar,41,translation and interpretation,"Stationery and educational supplies, including writing materials, office requisites, and instructional teaching aids.","Professional linguistic services, namely translation and interpretation services"
0013240-0044477,9,photographic apparatus and instruments,Low similar,9,bags adapted for carrying photographic apparatus,Optical apparatus and instruments for photographic purposes,Carrying bags specially adapted for photographic apparatus
0029104-0057907,3,potpourris [fragrances],Identical,3,perfumery,Air fragrancing preparations in the nature of potpourris,"Scented preparations, namely, perfumery"
0030502-0017476,3,cosmetics,Similar,3,extracts of flowers [perfumes],Non-medicated cosmetics for beauty and personal care,Perfume extracts derived from flowers
