Original_Term,Nature,Purpose,Expanded_Name,Logic_Trace
Umbrella sticks,Structural component of an umbrella,Forming the central support shaft for an umbrella or parasol,Central shafts and handles for umbrellas and parasols [umbrella sticks],"Class 18 includes 'umbrellas and parasols' and 'walking sticks'. 'Umbrella sticks' specifically refers to the structural components of an umbrella. Meaning #1, the central shaft of an umbrella, is the most accurate fit. While walking sticks are in the class, 'umbrella sticks' are distinct from walking aids. Meaning #2 is too vague."
Beds,Furniture item,Providing a surface for sleeping or resting,Furniture in the nature of beds for sleeping,Class 20 is primarily for 'Furniture'. A bed is a fundamental piece of furniture designed for sleeping. Meaning #1 is a direct and accurate fit for this class. Meanings #2 and #3 are entirely unrelated to furniture classification.
Windshield wipers,Vehicle parts,"Clearing rain, snow, and debris from vehicle windshields to maintain visibility","Vehicle parts, namely, windshield wipers for maintaining visibility","Class 12 covers 'Vehicles; apparatus for locomotion by land, air or water'. Windshield wipers are essential components of vehicles, particularly land vehicles, designed to maintain visibility. Meaning #1 is the correct interpretation. Meanings #2 and #3 refer to generic cleaning tools, which would fall into other classes (e.g., Class 21)."
Noodle-based prepared meals,Edible food preparations,"Providing complete, ready-to-eat or easily reheated meals primarily featuring noodles",Prepared food meals consisting primarily of noodles,"Class 30 explicitly mentions ""rice, pasta and noodles"" and ""preparations made from cereals."" The term ""prepared meals"" strongly indicates ready-to-eat or pre-assembled food products. Meaning 1, ready-to-eat dishes, aligns perfectly. Meanings 2 and 3 are too broad or refer to components rather than prepared meals."
Apparatus for veterinary purposes,Scientific and medical devices,"Facilitating diagnosis, treatment, and care for animals",Scientific and medical apparatus for veterinary diagnosis and treatment,"Class 10 specifically lists ""veterinary apparatus and instruments."" This directly supports Meaning 1. Meanings 2 and 3 are too far removed from the medical/surgical context of Class 10."
Maple syrup,Sweet food syrup,Sweetening and flavoring various food items and beverages,Natural sweet food syrup derived from maple trees,"Class 30 includes ""sugar, honey, treacle"" and ""sauces and other condiments,"" clearly indicating food products. Meaning 1 fits perfectly as a sweet condiment. Meaning 2 is too narrow, and Meaning 3 is incorrect for the class."
Ammunition and projectiles,Munitions,Being discharged from firearms or other weapons,"Munitions, including cartridges, bullets, and other projectiles for firearms","Class 13 explicitly lists ""ammunition and projectiles."" This directly refers to items fired from firearms or other weapons, matching Meaning 1. Meaning 2 (sports balls) is incorrect as Class 28 handles sports equipment. Meaning 3 is too vague."
Shirt yokes,Fabric components of clothing,Forming the upper back or shoulder section of a shirt,"Fabric components for shirts, specifically the upper back or shoulder sections","Class 25 is ""Clothing, footwear, headwear."" This context clearly points to parts of garments, specifically shirts. Meaning 1 is the only correct interpretation. Meanings 2 and 3 are irrelevant."
Artificial eyes,Medical prostheses,Replacing a missing or damaged eye for cosmetic or functional purposes,"Ocular prostheses, namely, artificial eyes for medical replacement","Class 10 specifically includes ""artificial limbs, eyes and teeth,"" placing ""artificial eyes"" squarely in the category of medical prosthetics. Meaning 1 is correct. Meanings 2 and 3 are outside the scope of Class 10."
Magnetically encoded debit cards,Plastic financial transaction cards,Storing financial data magnetically for debit transactions,Plastic cards containing magnetically encoded data for debit transactions,"Class 9 covers ""apparatus and instruments for recording, transmitting, reproducing or processing sound, images or data; recorded and downloadable media."" A magnetically encoded card stores data. Meaning 1 aligns with a physical item storing data for financial transactions. Meanings 2 and 3 are incorrect; 2 is software, 3 is manufacturing components."
Muffs [clothing],Garments,Providing warmth for the hands,Hand warmers in the nature of clothing muffs,"Class 25 is ""Clothing, footwear, headwear."" The ""[clothing]"" disambiguator confirms Meaning 1: a garment worn for warmth. Meaning 2 (ear muffs) would typically be Class 9 (protective devices) or Class 10 (medical, if hearing aids). Meaning 3 is unrelated."
Binding agents for ice cream,Food additives,Stabilizing and thickening ice cream mixtures,"Food additives, namely, binding agents for stabilizing ice cream","Class 30 covers ""ice cream, sorbets and other edible ices"" and other food ingredients. The term ""binding agents for ice cream"" strongly indicates a food additive or ingredient. Meaning 1 fits perfectly. Meaning 2 is incorrect (packaging materials are generally not Class 30). Meaning 3 is too vague, as ""binding agents"" implies a specific function."
